mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	-4	3/4	1/4	1/2			1			firstMeasure	2
2	1	-4	3/4	3/4	0						start	3
3	2	-4	3/4	3/4	0							4
4	3	-4	3/4	3/4	0							5
5	4	-4	3/4	3/4	0							6
6	5	-4	3/4	3/4	0							7
7	6	-4	3/4	3/4	0							8
8	7	-4	3/4	3/4	0							9
9	8	-4	3/4	3/4	0							10
10	9	-4	3/4	3/4	0							11
11	10	-4	3/4	3/4	0							12
12	11	-4	3/4	3/4	0							13
13	12	-4	3/4	3/4	0							14
14	13	-4	3/4	3/4	0							15
15	14	-4	3/4	3/4	0							16
16	15	-4	3/4	3/4	0							17, 18
17	16	-4	3/4	3/4	0	1					end	2
18	16	-4	3/4	3/4	0	2	-1					19
19	17	-4	3/4	3/4	0						start	20
20	18	-4	3/4	3/4	0							21
21	19	-4	3/4	3/4	0							22
22	20	-4	3/4	3/4	0							23
23	21	-4	3/4	3/4	0							24
24	22	-4	3/4	3/4	0							25
25	23	-4	3/4	3/4	0							26
26	24	-4	3/4	3/4	0							27
27	25	-4	3/4	3/4	0							28
28	26	-4	3/4	3/4	0							29
29	27	-4	3/4	3/4	0							30
30	28	-4	3/4	3/4	0							31
31	29	-4	3/4	3/4	0							32
32	30	-4	3/4	3/4	0							33
33	31	-4	3/4	3/4	0							34
34	32	-4	3/4	3/4	0							35
35	33	-4	3/4	3/4	0							36
36	34	-4	3/4	3/4	0							37
37	35	-4	3/4	3/4	0							38
38	36	-4	3/4	3/4	0							39
39	37	-4	3/4	3/4	0							40
40	38	-4	3/4	3/4	0							41
41	39	-4	3/4	3/4	0							42
42	40	-4	3/4	3/4	0							43
43	41	-4	3/4	3/4	0							44
44	42	-4	3/4	3/4	0							45
45	43	-4	3/4	3/4	0							46
46	44	-4	3/4	3/4	0							47
47	45	-4	3/4	3/4	0							48
48	46	-4	3/4	3/4	0							49
49	47	-4	3/4	3/4	0							50
50	48	-4	3/4	3/4	0							51
51	49	-4	3/4	3/4	0							52
52	50	-4	3/4	3/4	0							53
53	51	-4	3/4	3/4	0							54
54	52	-4	3/4	3/4	0							55
55	53	-4	3/4	3/4	0							56
56	54	-4	3/4	3/4	0							57
57	55	-4	3/4	3/4	0							58
58	56	-4	3/4	3/4	0							59
59	57	-4	3/4	3/4	0							60
60	58	-4	3/4	3/4	0							61
61	59	-4	3/4	3/4	0							62
62	60	-4	3/4	3/4	0							63
63	61	-4	3/4	3/4	0							64
64	62	-4	3/4	3/4	0							65
65	63	-4	3/4	3/4	0							66
66	64	-4	3/4	3/4	0							67
67	65	-4	3/4	3/4	0							68
68	66	-4	3/4	3/4	0							69
69	67	-4	3/4	3/4	0							70
70	68	-4	3/4	3/4	0							71
71	69	-4	3/4	3/4	0							72
72	70	-4	3/4	3/4	0							73
73	71	-4	3/4	3/4	0							74
74	72	-4	3/4	3/4	0							75
75	73	-4	3/4	3/4	0							76
76	74	-4	3/4	3/4	0							77
77	75	-4	3/4	3/4	0							78
78	76	-4	3/4	3/4	0							79
79	77	-4	3/4	3/4	0							80
80	78	-4	3/4	3/4	0							81
81	79	-4	3/4	3/4	0							82
82	80	-4	3/4	3/4	0							83
83	81	-4	3/4	3/4	0							84
84	82	-4	3/4	3/4	0							85
85	83	-4	3/4	3/4	0							86
86	84	-4	3/4	3/4	0							87
87	85	-4	3/4	3/4	0							88, 89
88	86	-4	3/4	3/4	0	1					end	19
89	86	-4	3/4	3/4	0	2	-1					90
90	87	-4	3/4	3/4	0							91
91	88	-4	3/4	3/4	0							92
92	89	-4	3/4	3/4	0							93
93	90	-4	3/4	3/4	0							94
94	91	-4	3/4	3/4	0							95
95	92	-4	3/4	3/4	0							96
96	93	-4	3/4	3/4	0							97
97	94	-4	3/4	3/4	0							98
98	95	-4	3/4	3/4	0							99
99	96	-4	3/4	3/4	0							100
100	97	-4	3/4	3/4	0							101
101	98	-4	3/4	3/4	0							102
102	99	-4	3/4	3/4	0							103
103	100	-4	3/4	3/4	0							104
104	101	-4	3/4	3/4	0							105
105	102	-4	3/4	3/4	0							106
106	103	-4	3/4	3/4	0							107
107	104	-4	3/4	3/4	0							108
108	105	-4	3/4	3/4	0							109
109	106	-4	3/4	3/4	0							110
110	107	-4	3/4	3/4	0							111
111	108	-4	3/4	3/4	0							112
112	109	-4	3/4	3/4	0							113
113	110	-4	3/4	3/4	0							114
114	111	-4	3/4	3/4	0							115
115	112	-4	3/4	3/4	0							116
116	113	-4	3/4	3/4	0							117
117	114	-4	3/4	3/4	0							118
118	115	-4	3/4	3/4	0							119
119	116	-4	3/4	3/4	0							120
120	117	-4	3/4	3/4	0							121
121	118	-4	3/4	3/4	0							122
122	119	-4	3/4	3/4	0							123
123	120	-4	3/4	3/4	0							124
124	121	-4	3/4	3/4	0							125
125	122	-4	3/4	3/4	0							126
126	123	-4	3/4	3/4	0							127
127	124	-4	3/4	3/4	0							128
128	125	-4	3/4	3/4	0							129
129	126	-4	3/4	3/4	0							130
130	127	-4	3/4	3/4	0							131
131	128	-4	3/4	3/4	0							132
132	129	-4	3/4	3/4	0							133
133	130	-4	3/4	3/4	0							134
134	131	-4	3/4	3/4	0							135
135	132	-4	3/4	3/4	0							136
136	133	-4	3/4	3/4	0							137
137	134	-4	3/4	3/4	0							138
138	135	-4	3/4	3/4	0							139
139	136	-4	3/4	3/4	0							140
140	137	-4	3/4	3/4	0							141
141	138	-4	3/4	3/4	0							142
142	139	-4	3/4	3/4	0							143
143	140	-4	3/4	3/4	0							144
144	141	-4	3/4	3/4	0							145
145	142	-4	3/4	3/4	0							146
146	143	-4	3/4	3/4	0							147
147	144	-4	3/4	3/4	0							148
148	145	-4	3/4	3/4	0							149
149	146	-4	3/4	3/4	0							150
150	147	-4	3/4	3/4	0							151
151	148	-4	3/4	3/4	0							152
152	149	-4	3/4	3/4	0							153
153	150	-4	3/4	3/4	0							154
154	151	-4	3/4	3/4	0							155
155	152	-4	3/4	3/4	0							156
