mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	1	1	.F.I[I		F	I	I	I		I						M	0	0	0, 4, 1		0	0
1	1	1/2	1/2	3/4	1	1	IV64		F	I	I	IV64		IV		64				M	0	0	0, -1, 3		-1	0
2	2	0	0	3/4	1	1	IV6		F	I	I	IV6		IV		6				M	0	0	3, 0, -1		-1	3
2	2	1/4	1/4	3/4	1	1	viio6		F	I	I	viio6		vii	o	6				o	0	0	2, -1, 5		5	2
2	2	1/2	1/2	3/4	1	1	IV64		F	I	I	IV64		IV		64				M	0	0	0, -1, 3		-1	0
2	2	5/8	5/8	3/4	1	1	V65		F	I	I	V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
3	3	0	0	3/4	1	1	I]		F	I	I	I		I						M	0	0	0, 4, 1		0	0
3	3	1/4	1/4	3/4	1	1	I6		F	I		I6		I		6				M	0	0	4, 1, 0		0	4
3	3	1/2	1/2	3/4	1	1	vi		F	I		vi		vi						m	0	0	3, 0, 4		3	3
4	4	0	0	3/4	1	1	ii7		F	I		ii7		ii		7				mm7	0	0	2, -1, 3, 0		2	2
4	4	3/8	3/8	3/4	1	1	I6		F	I		I6		I		6				M	0	0	4, 1, 0		0	4
4	4	1/2	1/2	3/4	1	1	IV		F	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
4	4	5/8	5/8	3/4	1	1	I		F	I		I		I						M	0	0	0, 4, 1		0	0
5	5	0	0	3/4	1	1	V\\		F	I		V		V					\\	M	0	0	1, 5, 2		1	1
5	5	1/4	1/4	3/4	1	1	I6		F	I		I6		I		6				M	0	0	4, 1, 0		0	4
5	5	1/2	1/2	3/4	1	1	V6		F	I		V6		V		6				M	0	0	5, 2, 1		1	5
5	5	5/8	5/8	3/4	1	1	V65		F	I		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
6	6	0	0	3/4	1	1	I		F	I		I		I						M	0	0	0, 4, 1		0	0
6	6	1/4	1/4	3/4	1	1	vi7		F	I		vi7		vi		7				mm7	0	0	3, 0, 4, 1		3	3
6	6	1/2	1/2	3/4	1	1	V6		F	I		V6		V		6				M	0	0	5, 2, 1		1	5
6	6	5/8	5/8	3/4	1	1	V65		F	I		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
7	7	0	0	3/4	1	1	I(4)		F	I		I(4)		I			4			M	0	0	0, -1, 1		0	0
7	7	1/8	1/8	3/4	1	1	I		F	I		I		I						M	0	0	0, 4, 1		0	0
7	7	1/4	1/4	3/4	1	1	vi(4)		F	I		vi(4)		vi			4			m	0	0	3, 2, 4		3	3
7	7	3/8	3/8	3/4	1	1	vi7		F	I		vi7		vi		7				mm7	0	0	3, 0, 4, 1		3	3
7	7	1/2	1/2	3/4	1	1	viio6		F	I		viio6		vii	o	6				o	0	0	2, -1, 5		5	2
7	7	5/8	5/8	3/4	1	1	ii(9)		F	I		ii(9)		ii			9			m	0	0	2, -1, 3	4	2	2
8	8	0	0	3/4	1	1	V(#74)		F	I		V(#74)		V			#74			M	0	0	1, 0, 2	6	1	1
8	8	1/4	1/4	3/4	1	1	V\\		F	I		V		V					\\	M	0	0	1, 5, 2		1	1
9	9	1/4	1/4	3/4	1	1	viio64		F	I		viio64		vii	o	64				o	0	0	-1, 5, 2		5	-1
9	9	1/2	1/2	3/4	1	1	V/ii		F	I		V/ii		V				ii		M	0	0	3, 7, 4		3	3
10	10	0	0	3/4	1	1	ii(9#74)		F	I		ii(9#74)		ii			9#74			m	0	0	2, 1, 3	4, 7	2	2
10	10	1/4	1/4	3/4	1	1	ii\\		F	I		ii		ii					\\	m	0	0	2, -1, 3		2	2
10	10	1/2	1/2	3/4	1	1	viio		F	I		viio		vii	o					o	0	0	5, 2, -1		5	5
